Sex,Persons (Cases per 100 000 persons),Year,Country,Type of Cancer
Female,278.6,2012,Australia,Malignant neoplasms
Female,16.8,2002,Australia,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.5,2012,Australia,Malignant neoplasms of cervix uteri
Female,4.9,2008,Australia,Malignant neoplasms of cervix uteri
Female,6.9,2002,Australia,Malignant neoplasms of cervix uteri
Female,274.4,2008,Australia,Malignant neoplasms
Female,276.8,2002,Australia,Malignant neoplasms
Female,86,2012,Australia,Malignant neoplasms of female breast
Female,84.8,2008,Australia,Malignant neoplasms of female breast
Female,83.2,2002,Australia,Malignant neoplasms of female breast
Female,32,2012,Australia,"Malignant neoplasms of colon, rectum and anus"
Female,32.1,2008,Australia,"Malignant neoplasms of colon, rectum and anus"
Female,35.9,2002,Australia,"Malignant neoplasms of colon, rectum and anus"
Female,21.5,2012,Australia,"Malignant neoplasms of trachea, bronchus, lung"
Female,68,2012,Austria,Malignant neoplasms of female breast
Female,7.8,2008,Austria,Malignant neoplasms of cervix uteri
Female,10.9,2002,Austria,Malignant neoplasms of cervix uteri
Female,11.9,2000,Austria,Malignant neoplasms of cervix uteri
Female,10.3,1998,Austria,Malignant neoplasms of cervix uteri
Female,69.9,2008,Austria,Malignant neoplasms of female breast
Female,70.5,2002,Austria,Malignant neoplasms of female breast
Female,67.2,2000,Austria,Malignant neoplasms of female breast
Female,62.6,1998,Austria,Malignant neoplasms of female breast
Female,19.5,2012,Austria,"Malignant neoplasms of trachea, bronchus, lung"
Female,16.2,2008,Austria,"Malignant neoplasms of trachea, bronchus, lung"
Female,14.3,2002,Austria,"Malignant neoplasms of trachea, bronchus, lung"
Female,12,2000,Austria,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.8,1998,Austria,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.8,2012,Austria,Malignant neoplasms of cervix uteri
Female,222.7,2012,Austria,Malignant neoplasms
Female,218.6,2008,Austria,Malignant neoplasms
Female,238.1,2002,Austria,Malignant neoplasms
Female,219.6,2000,Austria,Malignant neoplasms
Female,211,1998,Austria,Malignant neoplasms
Female,19.6,2012,Austria,"Malignant neoplasms of colon, rectum and anus"
Female,22.2,2008,Austria,"Malignant neoplasms of colon, rectum and anus"
Female,27.8,2002,Austria,"Malignant neoplasms of colon, rectum and anus"
Female,26.1,2000,Austria,"Malignant neoplasms of colon, rectum and anus"
Female,29.5,2012,Belgium,"Malignant neoplasms of colon, rectum and anus"
Female,16.2,2008,Belgium,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.2,2002,Belgium,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.2,2000,Belgium,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.2,1998,Belgium,"Malignant neoplasms of trachea, bronchus, lung"
Female,28.6,2008,Belgium,"Malignant neoplasms of colon, rectum and anus"
Female,26.8,2002,Belgium,"Malignant neoplasms of colon, rectum and anus"
Female,28,2000,Belgium,"Malignant neoplasms of colon, rectum and anus"
Female,26.3,1998,Belgium,"Malignant neoplasms of colon, rectum and anus"
Female,111.9,2012,Belgium,Malignant neoplasms of female breast
Female,109.4,2008,Belgium,Malignant neoplasms of female breast
Female,92,2002,Belgium,Malignant neoplasms of female breast
Female,82.2,2000,Belgium,Malignant neoplasms of female breast
Female,84.4,1998,Belgium,Malignant neoplasms of female breast
