Country name,Year,World Population,Malignant neoplasms,"Malignant neoplasms of colon, rectum and anus","Malignant neoplasms of trachea, bronchus, lung"
Australia,1998,"18,607,584",,,
Australia,2000,"19,028,802",,,
Australia,2002,"19,495,210",312,41.7,28.2
Australia,2008,"21,249,199",314.1,38.7,25.6
Australia,2012,"22,733,465",323,38.4,27
 Austria ,1998,"7,976,789",249.4,34.1,27.4
 Austria ,2000,"8,011,566",250.7,34.7,27
 Austria ,2002,"8,081,957",275.5,35,28.5
 Austria ,2008,"8,321,496",250.6,28.6,25.1
 Austria ,2012,"8,429,991",254.1,26,27.5
 Belgium ,1998,"10,203,008",277.1,31.2,41.5
 Belgium ,2000,"10,251,250",282.2,32.7,43.8
 Belgium ,2002,"10,332,785",296.2,31.9,43.8
 Belgium ,2008,"10,709,973",309.4,35.5,35.3
 Belgium ,2012,"11,106,932",321.1,36.7,36.8
 Brazil ,1998,"171,039,804",,,
 Brazil ,2000,"175,873,720",,,
 Brazil ,2002,"180,476,685",,,
 Brazil ,2008,"192,672,317",,,
 Brazil ,2012,"199,977,707",205.5,15.8,16.3
 Canada ,1998,"30,155,173",,,
 Canada ,2000,"30,685,730",,,
 Canada ,2002,"31,359,199",299.9,36.4,43.7
 Canada ,2008,"33,247,298",296.6,38.1,35.9
 Canada ,2012,"34,713,395",295.7,35.2,37.9
 Chile ,1998,"14,996,742",,,
 Chile ,2000,"15,351,799",,,
 Chile ,2002,"15,693,790",,,
 Chile ,2008,"16,661,462",176.7,13,14
 Chile ,2012,"17,341,771",175.7,15,13.3
 China,1998,"1,241,935,000",,,
 China,2000,"1,262,645,000",,,
 China,2002,"1,280,400,000",,,
 China,2008,"1,324,655,000",,,
 China,2012,"1,354,190,000",174,14.2,36.1
 Colombia ,1998,"37,944,414",,,
 Colombia ,2000,"39,215,135",,,
 Colombia ,2002,"40,454,050",,,
 Colombia ,2008,"43,815,313",,,
 Colombia ,2012,"45,782,417",160.6,12.9,11
 Costa Rica ,1998,"3,821,421",,,
 Costa Rica ,2000,"3,979,193",,,
 Costa Rica ,2002,"4,122,623",,,
 Costa Rica ,2008,"4,501,921",,,
 Costa Rica ,2012,"4,736,593",179.3,16.4,7.3
 Czechia ,1998,"10,294,373",,,
 Czechia ,2000,"10,255,063",,,
 Czechia ,2002,"10,196,916",289.3,45.3,39.7
 Czechia ,2008,"10,384,603",288.5,43,32.1
 Czechia ,2012,"10,510,785",293.8,38.9,32.5
 Denmark ,1998,"5,304,219",263.7,34.6,37.4
 Denmark ,2000,"5,339,616",287.8,34.7,37.3
 Denmark ,2002,"5,375,931",281.4,37,37.6
 Denmark ,2008,"5,493,621",321.1,39.7,39.3
 Denmark ,2012,"5,591,572",338.1,40.5,39.2
 Estonia ,1998,"1,386,156",,,
 Estonia ,2000,"1,396,985",,,
 Estonia ,2002,"1,379,350",,,
 Estonia ,2008,"1,337,090",230.1,25.4,30.5
 Estonia ,2012,"1,322,696",242.8,27.2,24.4
 Finland ,1998,"5,153,498",246.5,22.3,24.2
 Finland ,2000,"5,176,209",241,23.2,22.8
 Finland ,2002,"5,200,598",246,23.3,21.8
