Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
 Australia ,"18,607,584","18,812,264","19,028,802","19,274,701","19,495,210","19,720,737","19,932,722","20,176,844","20,450,966","20,827,622","21,249,199","21,691,653","22,031,750","22,340,024","22,733,465"
 Austria ,"7,976,789","7,992,324","8,011,566","8,042,293","8,081,957","8,121,423","8,171,966","8,227,829","8,268,641","8,295,487","8,321,496","8,343,323","8,363,404","8,391,643","8,429,991"
 Belgium ,"10,203,008","10,226,419","10,251,250","10,286,570","10,332,785","10,376,133","10,421,137","10,478,617","10,547,958","10,625,700","10,709,973","10,796,493","10,895,586","11,038,264","11,106,932"
 Brazil ,"171,039,804","173,486,281","175,873,720","178,211,881","180,476,685","182,629,278","184,722,043","186,797,334","188,820,682","190,779,453","192,672,317","194,517,549","196,353,492","198,185,302","199,977,707"
 Canada ,"30,155,173","30,401,286","30,685,730","31,020,855","31,359,199","31,642,461","31,938,807","32,242,732","32,571,193","32,888,886","33,247,298","33,630,069","34,005,902","34,339,221","34,713,395"
 Chile ,"14,996,742","15,176,410","15,351,799","15,523,978","15,693,790","15,859,112","16,017,966","16,175,311","16,334,575","16,495,538","16,661,462","16,833,447","17,004,162","17,173,573","17,341,771"
 China (People’s Republic of) ,"1,241,935,000","1,252,735,000","1,262,645,000","1,271,850,000","1,280,400,000","1,288,400,000","1,296,075,000","1,303,720,000","1,311,020,000","1,317,885,000","1,324,655,000","1,331,260,000","1,337,705,000","1,345,035,000","1,354,190,000"
 Colombia ,"37,944,414","38,585,033","39,215,135","39,837,875","40,454,050","41,057,687","41,648,268","42,220,940","42,772,910","43,306,582","43,815,313","44,313,917","44,816,108","45,308,899","45,782,417"
 Costa Rica ,"3,821,421","3,901,430","3,979,193","4,053,222","4,122,623","4,188,610","4,252,800","4,315,887","4,378,172","4,440,019","4,501,921","4,563,127","4,622,252","4,679,926","4,736,593"
 Czechia ,"10,294,373","10,283,860","10,255,063","10,216,605","10,196,916","10,193,998","10,197,101","10,211,216","10,238,905","10,298,828","10,384,603","10,443,936","10,474,410","10,496,088","10,510,785"
 Denmark ,"5,304,219","5,321,799","5,339,616","5,358,783","5,375,931","5,390,574","5,404,523","5,419,432","5,437,272","5,461,438","5,493,621","5,523,095","5,547,683","5,570,572","5,591,572"
 Estonia ,"1,386,156","1,390,244","1,396,985","1,388,115","1,379,350","1,370,720","1,362,550","1,354,775","1,346,810","1,340,680","1,337,090","1,334,515","1,331,475","1,327,439","1,322,696"
 Finland ,"5,153,498","5,165,474","5,176,209","5,188,008","5,200,598","5,213,014","5,228,172","5,246,096","5,266,268","5,288,720","5,313,399","5,338,871","5,363,352","5,388,272","5,413,971"
 France ,"60,192,790","60,504,420","60,921,384","61,367,388","61,816,234","62,256,970","62,716,306","63,188,395","63,628,261","64,021,737","64,379,696","64,710,879","65,030,575","65,345,233","65,662,240"
 Germany ,"82,047,195","82,100,243","82,211,508","82,349,925","82,488,495","82,534,176","82,516,260","82,469,422","82,376,451","82,266,372","82,110,097","81,902,307","81,776,930","80,274,983","80,425,823"
 Greece ,"10,720,509","10,761,698","10,805,808","10,862,132","10,902,022","10,928,070","10,955,141","10,987,314","11,020,362","11,048,473","11,077,841","11,107,017","11,121,341","11,104,899","11,045,011"
 Hungary ,"10,266,570","10,237,530","10,210,971","10,187,576","10,158,608","10,129,552","10,107,146","10,087,065","10,071,370","10,055,780","10,038,188","10,022,650","10,000,023","9,971,727","9,920,362"
