"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2018","2018",84.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2019","2019",85,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2020","2020",85.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2021","2021",85.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2010","2010",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2011","2011",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2012","2012",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2013","2013",80.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2014","2014",80.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2015","2015",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2016","2016",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2017","2017",80.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2018","2018",80.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2019","2019",80.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2020","2020",81.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2021","2021",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2017","2017",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2021","2021",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2010","2010",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2011","2011",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2012","2012",83.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2013","2013",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2014","2014",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2015","2015",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2016","2016",84.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2017","2017",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2018","2018",84.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2019","2019",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2020","2020",83.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2021","2021",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2022","2022",83.5,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2010","2010",77.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2011","2011",78.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2012","2012",78.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2013","2013",78.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2014","2014",79.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2015","2015",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2016","2016",79.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2017","2017",79.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2018","2018",79.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2019","2019",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2020","2020",78.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2021","2021",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2022","2022",78.8,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2010","2010",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2011","2011",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2012","2012",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2013","2013",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2014","2014",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2015","2015",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2016","2016",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2017","2017",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2018","2018",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2019","2019",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2020","2020",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2021","2021",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2022","2022",81.1,"P","Provisional value"
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2010","2010",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2011","2011",83.3,"B","Break"
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2012","2012",83.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2013","2013",83.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2014","2014",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2015","2015",83.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2016","2016",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2017","2017",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2018","2018",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2019","2019",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2020","2020",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2021","2021",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","BEL","Belgium","2022","2022",83.9,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2010","2010",77.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2011","2011",78,"B","Break"
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2012","2012",77.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2013","2013",78.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2014","2014",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2015","2015",78.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2016","2016",79,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2017","2017",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2018","2018",79.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2019","2019",79.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2020","2020",78.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2021","2021",79.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","BEL","Belgium","2022","2022",79.6,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2010","2010",80.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2011","2011",80.7,"B","Break"
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2012","2012",80.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2013","2013",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2014","2014",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2015","2015",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2017","2017",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2018","2018",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2019","2019",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2020","2020",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2021","2021",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2022","2022",81.8,"P","Provisional value"
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2010","2010",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2011","2011",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2012","2012",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2013","2013",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2014","2014",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2015","2015",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2016","2016",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2017","2017",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2018","2018",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2019","2019",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2020","2020",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CAN","Canada","2021","2021",84,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2010","2010",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2011","2011",79.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2012","2012",79.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2013","2013",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2014","2014",79.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2015","2015",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2016","2016",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2017","2017",79.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2018","2018",79.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2019","2019",80.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2020","2020",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CAN","Canada","2021","2021",79.3,,
